Expedient,date,denomination,class-id,image,url                                                                                                                                                                                                                
122672,09/08/2018,SIEMPRE A TU SERVICIO,37,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122672                                                                                                                             
122673,09/08/2018,RÁPIDO, FÁCIL Y SIN COMPLICACIONES,29,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122673                                                                                                                
122674,22/08/2018,LA VISION DE TU EMPRESA NUESTRO PROYECTO,35,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122674                                                                                                          
122675,22/08/2018,¡EL DINERO DOMINA EL JUEGO!,41,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122675                                                                                                                       
122676,22/08/2018,TU TRANSPORTE DE CARGA EN UN CLIC,38,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122676                                                                                                                 
122677,22/08/2018,MOTOR & RUEDAS EXCELENCIA EN SERVICIO,35,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122677                                                                                                             
122678,22/08/2018,MOVIENDO AGUA, LLEVANDO VIDA,7,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122678                                                                                                                       
122679,22/08/2018,LIBERA LA PRESIÓN, DISFRUTA LA VIDA,7,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122679                                                                                                                
122680,22/08/2018,SIEMPRE FRESCO SIEMPRE DELICIOSO,30,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122680                                                                                                                  
122681,22/08/2018,SIEMPRE FRESCO SIEMPRE DELICIOSO,43,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122681                                                                                                                  
122682,22/08/2018,DETALLES QUE HACEN TU ESPACIO,20,,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/A/1985/0122682                                                                                                                     
2091216,22/08/2018,BLUELAND,44,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA1Mw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091216                                                                            
