trademark_registration,concession_date,expedient,date_of_presentation,denomination,class_id,products_services,holder_data,owner,residence,population,postal_code,nationality,country,trademark_type,image
1933760,11/10/2018,2074931,16/07/2018,ETNIA 52,30,null,null,null,null,null,02240,MX,MEXICO,1,null
1933761,11/10/2018,2074938,16/07/2018,OCIXEM,30,null,null,null,null,null,02240,MX,MEXICO,1,null
1933762,11/10/2018,2074951,16/07/2018,TOURIFY,9,null,null,null,null,null,22000,MX,MEXICO,1,null
1933763,11/10/2018,2074952,16/07/2018,TOURIFY,39,null,null,null,null,null,22000,MX,MEXICO,1,null
1933764,11/10/2018,2074954,16/07/2018,SOY TALENT,35,null,null,null,null,null,03100,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA0Nw==
1933765,11/10/2018,2074959,16/07/2018,ALUPROJECTS,37,null,null,null,null,null,03920,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA0OA==
1933766,11/10/2018,2074962,16/07/2018,TOURIFY,42,null,null,null,null,null,22000,MX,MEXICO,1,null
1933767,11/10/2018,2074967,16/07/2018,PANACEA,42,null,null,null,null,null,64780,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA1MA==
1933768,11/10/2018,2074976,16/07/2018,TA2,3,null,null,null,null,null,52930,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA1MQ==
1933769,11/10/2018,2075029,16/07/2018,MEXLIKE,25,null,null,null,null,null,55760,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA1Mg==
1933770,11/10/2018,2075042,16/07/2018,P,36,null,null,null,null,null,92618,US,ESTADOS UNIDOS DE AMERICA,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA1Mw==
1933771,11/10/2018,2075046,16/07/2018,PURIQRO,32,null,null,null,null,null,76060,MX,MEXICO,1,null
1933772,11/10/2018,2075048,16/07/2018,P,43,null,null,null,null,null,92618,US,ESTADOS UNIDOS DE AMERICA,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA1NQ==
1933773,11/10/2018,2075054,16/07/2018,RENETT,3,null,null,null,null,null,52763,MX,MEXICO,1,null
1933774,11/10/2018,2075062,16/07/2018,TSHIRTS WASHES,40,null,null,null,null,null,06500,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA1Nw==
1933775,11/10/2018,2075096,16/07/2018,DISIGNO STUDIO,35,null,null,null,null,null,83448,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA1OA==
1933776,11/10/2018,2075097,16/07/2018,ANDRÉ BADI BEAUTY CARE,3,null,null,null,null,null,44500,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA1OQ==
1933777,11/10/2018,2075103,16/07/2018,ANDRÉ BADI POUR HOMME,3,null,null,null,null,null,44500,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA2MA==
1933778,11/10/2018,2075107,16/07/2018,ANDRÉ BADI CASA,3,null,null,null,null,null,44500,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA2MQ==
1933779,11/10/2018,2075112,16/07/2018,COLMEX,7,null,null,null,null,null,55080,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA2Mg==
1933780,11/10/2018,2075127,16/07/2018,ANDRÉ BADI CASA,11,null,null,null,null,null,44500,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODA2Mw==
